,2 & 4,Maintenance, LRG,RGA,1674,Arnold West Inglewood Rd,ARNOLD WEST,McIntyre Inglewood,6.51,7.874,Maintenance Grade,Maintenance Grade,4,17311,1.364,,,,,,,,50%,,,0,03/07/2014,,Newbridge,,,,,ARNOLD WEST - Arnold West Inglewood Rd - RGA,2,0
,2 & 4,Maintenance, LRG,RGA,1677,Arnold West Kingower Rd,ARNOLD WEST,00 Kingower  Arnold Rd,0,4.14,Maintenance Grade,Maintenance Grade,4,17311,4.14,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD WEST - Arnold West Kingower Rd - RGA,2,0
,14 15,Maintenance, LRG,RF,87,Arnold West Rd,ARNOLD WEST,Rheola Arnold Rd.,0,8.934,Maintenance Grade,Maintenance Grade,4,17312,8.934,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD WEST - Arnold West Rd - RF,0,0
,2 & 4,Maintenance, LRG,RGA,88,Arnold West Rd,ARNOLD WEST,Missing Ref,3.1,8.386,Maintenance Grade,Maintenance Grade,4,17311,5.286,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD WEST - Arnold West Rd - RGA,2,0
,2,Maintenance, LRG,RGM,93,Arnold West School Rd,ARNOLD WEST,Arnold West Rd.,0,1.209,Maintenance Grade,Maintenance Grade,4,17311,1.209,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD WEST - Arnold West School Rd - RGM,1,0
,2 & 4,Maintenance, LRG,RGA,94,Arnold West School Rd,ARNOLD WEST,Missing Ref,1.209,2.618,Maintenance Grade,Maintenance Grade,4,17311,1.409,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD WEST - Arnold West School Rd - RGA,2,0
,0,Maintenance, LRG,RUF,4119,Bellenger Rd,ARNOLD WEST,00 at Rheola Arnold.,0,1.5,Maintenance Grade,Maintenance Grade,4,17312,1.5,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD WEST - Bellenger Rd - RUF,0,0
,2,Maintenance, LRG,RGM,1889,Kingower Arnold Rd,ARNOLD WEST,00 Inglewood Rheola Rd.,5.198,8,Maintenance Grade,Maintenance Grade,4,17311,2.802,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD WEST - Kingower Arnold Rd - RGM,1,0
,2 & 4,Maintenance, LRG,RGA,3871,McCamish Rd,ARNOLD WEST,00 at Inglewood Arnold West Rd,0,0.999,Maintenance Grade,Maintenance Grade,4,17311,0.999,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD WEST - McCamish Rd - RGA,2,0
,2,Maintenance, LRG,RGM,2294,McIntyre Inglewood Rd,ARNOLD WEST,00 Rheola Llanelly  Rd,1.824,10.124,Maintenance Grade,Maintenance Grade,4,17311,8.3,,,,,,,,,,,0,,,Newbridge,,,,,ARNOLD WEST - McIntyre Inglewood Rd - RGM,1,0
